Imobilizado;Subnº;Incorporação em;Denominação do imobilizado;Nº inventário;Nº de série;Centro custo;Link;QRCODE
21000320;0;31/03/2012;36 MT DE TUBO GALV A FOGO 2, 30 MT DE TUBO GALV A;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000320&nome=36%20MT%20DE%20TUBO%20GALV%20A%20FOGO%202,%2030%20MT%20DE%20TUBO%20GALV%20A;#BLOQUEADO!
21000324;0;31/05/2012;ROSCA POLARIS 75 BIMETALICA;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000324&nome=ROSCA%20POLARIS%2075%20BIMETALICA;#BLOQUEADO!
21000332;0;31/08/2012;MOTOR SIEMENS TRIF 75CV 4P 4T A REND CAR 225M;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000332&nome=MOTOR%20SIEMENS%20TRIF%2075CV%204P%204T%20A%20REND%20CAR%20225M;#BLOQUEADO!
21000333;0;31/08/2012;INVERSOR CFW-09 105A 3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000333&nome=INVERSOR%20CFW-09%20105A%203AC%20380V;#BLOQUEADO!
21000334;0;31/08/2012;ROSCA BIMETALICA 063,5X2039 LD;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000334&nome=ROSCA%20BIMETALICA%20063,5X2039%20LD;#BLOQUEADO!
21000337;0;30/09/2012;EMPILHADEIRA MANUAL LM 510N;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000337&nome=EMPILHADEIRA%20MANUAL%20LM%20510N;#BLOQUEADO!
21000337;1;30/09/2012;3 TRANSPALETE MANUAL 680X1150 TM 3020, P/O SETOR;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000337&nome=3%20TRANSPALETE%20MANUAL%20680X1150%20TM%203020,%20P/O%20SETOR;#BLOQUEADO!
21000353;0;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;1;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;2;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;3;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;4;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;5;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;6;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;7;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;8;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;9;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;10;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
21000353;11;30/04/2013;INVERSOR CFW-11 7A/3AC 380V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000353&nome=INVERSOR%20CFW-11%207A/3AC%20380V;#BLOQUEADO!
